,ARTS & ENTERTAINMENT,BUSINESS & TECH,CRIME,FAMILY & RELATIONSHIPS,FOOD & TRAVEL,GENERAL NEWS & ODDITIES,HOME & STYLE,POLITICS & WORLD NEWS,RELIGION,SCIENCE & ENVIRONMENT,SPORTS,VOICES & IDENTITY,WELLNESS & HEALTH
ARTS & ENTERTAINMENT,3723,86,50,159,136,156,153,256,51,85,90,272,120
BUSINESS & TECH,46,1279,23,62,68,29,31,176,4,78,16,30,129
CRIME,15,17,448,18,6,55,0,67,11,17,12,32,14
FAMILY & RELATIONSHIPS,147,68,23,2994,89,76,82,41,24,60,26,72,263
FOOD & TRAVEL,83,72,10,58,2918,89,79,61,25,74,30,26,142
GENERAL NEWS & ODDITIES,70,29,55,40,60,363,21,37,8,76,30,9,37
HOME & STYLE,150,46,1,78,97,40,2687,28,4,26,16,28,77
POLITICS & WORLD NEWS,258,399,284,129,144,145,47,7908,156,384,105,355,276
RELIGION,20,16,16,13,9,7,3,47,309,22,5,17,31
SCIENCE & ENVIRONMENT,38,68,15,41,54,110,31,143,15,1013,17,32,109
SPORTS,36,8,15,13,13,25,4,29,0,18,803,38,13
VOICES & IDENTITY,318,66,91,142,52,56,85,303,54,65,71,1691,133
WELLNESS & HEALTH,106,173,18,223,195,70,85,119,39,129,53,76,3922
