,precision,recall,f1-score,support
ARTS & ENTERTAINMENT,0.6780609073958981,0.613265879707701,0.6440377804014168,5337.0
BUSINESS & TECH,0.6318339100346021,0.46321664129883305,0.5345433255269321,1971.0
CRIME,0.5424354243542435,0.41292134831460675,0.4688995215311005,712.0
FAMILY & RELATIONSHIPS,0.7098584675451439,0.7336696090794451,0.7215676547190872,3965.0
FOOD & TRAVEL,0.7500744712540959,0.6866648486501227,0.7169703872437357,3667.0
GENERAL NEWS & ODDITIES,0.49363057324840764,0.18562874251497005,0.26979982593559615,835.0
HOME & STYLE,0.7693527918781726,0.7397803538743136,0.7542768273716952,3278.0
POLITICS & WORLD NEWS,0.6089915446483811,0.8365439093484419,0.7048573815491108,10590.0
RELIGION,0.6432748538011696,0.42718446601941745,0.5134189031505251,515.0
SCIENCE & ENVIRONMENT,0.6022201665124884,0.3861209964412811,0.4705457173834478,1686.0
SPORTS,0.7208121827411168,0.5596059113300492,0.6300610094287299,1015.0
VOICES & IDENTITY,0.657463734206832,0.44931244003837545,0.5338145896656535,3127.0
WELLNESS & HEALTH,0.6829037149355572,0.6918202764976958,0.6873330789774895,5208.0
accuracy,0.6632224502457882,0.6632224502457882,0.6632224502457882,0.6632224502457882
macro avg,0.6531471340427776,0.5527488787011733,0.588471230991117,41906.0
weighted avg,0.6655258872223562,0.6632224502457882,0.6543977175277099,41906.0
